date,TSLA,NVDA,META,JPM
2021-12-26,48,10,27,38
2022-01-02,66,11,35,49
2022-01-09,47,11,34,66
2022-01-16,38,9,31,59
2022-01-23,79,13,33,47
2022-01-30,51,12,60,49
2022-02-06,41,12,51,47
2022-02-13,42,21,43,42
2022-02-20,45,10,38,40
2022-02-27,44,9,34,53
2022-03-06,40,9,35,48
2022-03-13,41,10,36,48
2022-03-20,47,12,35,41
2022-03-27,54,10,34,43
2022-04-03,47,9,34,47
2022-04-10,37,9,32,61
2022-04-17,64,10,33,43
2022-04-24,67,11,39,43
2022-05-01,49,9,35,44
2022-05-08,62,11,36,46
2022-05-15,59,9,33,42
2022-05-22,58,16,35,51
2022-05-29,45,7,33,44
2022-06-05,46,7,35,41
2022-06-12,51,8,37,44
2022-06-19,38,6,39,42
2022-06-26,37,7,36,41
2022-07-03,36,6,35,42
2022-07-10,40,6,36,61
2022-07-17,57,10,36,43
2022-07-24,41,9,43,40
2022-07-31,52,8,36,41
2022-08-07,48,11,37,40
2022-08-14,41,7,36,43
2022-08-21,50,11,39,39
2022-08-28,34,11,37,36
2022-09-04,32,6,36,35
2022-09-11,37,7,37,41
2022-09-18,35,8,39,41
2022-09-25,34,6,41,41
2022-10-02,49,6,40,39
2022-10-09,38,7,46,52
2022-10-16,55,6,42,42
2022-10-23,42,6,67,41
2022-10-30,33,6,54,47
2022-11-06,51,7,71,41
2022-11-13,37,11,48,46
2022-11-20,36,4,43,32
2022-11-27,35,5,39,39
2022-12-04,34,4,43,37
2022-12-11,56,6,42,37
2022-12-18,81,5,42,35
2022-12-25,86,4,50,32
2023-01-01,75,4,42,40
2023-01-08,56,5,41,71
2023-01-15,46,5,40,41
2023-01-22,83,9,43,41
2023-01-29,68,9,56,44
2023-02-05,59,9,44,40
2023-02-12,58,8,44,39
2023-02-19,43,13,44,36
2023-02-26,57,9,45,38
2023-03-05,46,8,46,58
2023-03-12,36,9,49,100
2023-03-19,38,12,45,66
2023-03-26,34,9,45,49
2023-04-02,37,8,43,43
2023-04-09,35,9,42,67
2023-04-16,55,9,47,49
2023-04-23,39,8,49,43
2023-04-30,31,9,43,75
2023-05-07,33,8,40,44
2023-05-14,34,11,41,38
2023-05-21,39,36,47,42
2023-05-28,39,25,43,42
2023-06-04,58,16,49,41
2023-06-11,60,19,51,42
2023-06-18,54,14,45,38
2023-06-25,47,16,47,42
2023-07-02,52,10,78,43
2023-07-09,45,15,58,68
2023-07-16,73,16,48,49
2023-07-23,49,14,58,47
2023-07-30,39,13,52,41
2023-08-06,37,13,48,40
2023-08-13,38,17,47,45
2023-08-20,40,46,48,40
2023-08-27,42,21,46,39
2023-09-03,32,13,42,36
2023-09-10,47,13,44,37
2023-09-17,36,13,45,37
2023-09-24,34,12,56,41
2023-10-01,36,12,51,44
2023-10-08,33,11,51,51
2023-10-15,52,14,54,44
2023-10-22,40,13,60,43
2023-10-29,38,13,53,39
2023-11-05,35,13,58,39
2023-11-12,39,16,60,43
2023-11-19,29,26,61,36
2023-11-26,40,14,58,42
2023-12-03,34,13,58,42
2023-12-10,35,13,62,45
2023-12-17,34,14,64,45
2023-12-24,29,11,71,36
2023-12-31,30,11,58,49
2024-01-07,32,21,61,69
2024-01-14,34,19,58,50
2024-01-21,66,25,58,47
2024-01-28,52,23,76,47
2024-02-04,45,35,72,51
2024-02-11,39,34,65,43
2024-02-18,33,81,63,45
2024-02-25,36,37,63,48
2024-03-03,46,52,85,52
2024-03-10,46,47,64,46
2024-03-17,45,48,62,48
2024-03-24,36,32,62,46
2024-03-31,51,28,63,48
2024-04-07,38,28,62,65
2024-04-14,53,30,71,50
2024-04-21,84,35,85,47
2024-04-28,62,27,71,43
2024-05-05,38,26,64,45
2024-05-12,33,27,64,47
2024-05-19,33,72,66,49
2024-05-26,26,52,63,44
2024-06-02,28,66,65,45
2024-06-09,45,71,64,47
2024-06-16,33,70,61,42
2024-06-23,38,73,67,46
2024-06-30,67,43,64,45
2024-07-07,66,51,63,62
2024-07-14,55,53,69,56
2024-07-21,74,51,75,46
2024-07-28,41,67,74,47
2024-08-04,44,72,69,50
2024-08-11,34,53,68,46
2024-08-18,32,52,72,45
2024-08-25,29,100,67,47
2024-09-01,29,58,63,46
2024-09-08,31,53,63,59
2024-09-15,32,43,63,47
2024-09-22,38,43,80,46
2024-09-29,38,36,74,47
2024-10-06,56,44,71,57
2024-10-13,36,47,76,54
2024-10-20,69,44,75,47
2024-10-27,43,40,82,46
2024-11-03,90,47,74,60
2024-11-10,100,44,79,53
2024-11-17,60,77,84,53
2024-11-24,41,36,85,47
2024-12-01,52,39,87,55
2024-12-08,75,39,94,51
2024-12-15,86,45,92,53
2024-12-22,50,29,100,37
2024-12-29,60,30,81,46
